Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Custom JLCPCB PCB","A custom pcb connecting parts together.",1,6.90,"https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010","JLCPCB"
"Raspberry Pi Pico W","Microcontroller, the brain of the synthesizer.",1,11.00,"https://www.laskakit.cz/raspberry-pi-pico-w/","laskakit.cz"
"2040 speaker 2 watt 8 ohm","Speaker for producing audio.",2,1.06,"https://www.lcsc.com/product-detail/C50387229.html?s_z=n_q_XHXDZ%25202040T-8%25CE%25A92W&spm=wm.fly.bg.0.xh&lcsc_vid=FVNfUlUEFAVYXgBSFAcKAVJRQwIPUFRWFFBeV1deT1gxVlNeR1VWVl1TQFdYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlFdX1NURFFADxALGw%3D%3D","lcsc"
"GY-PCM5102 I2S audio module","Audio generator, wich then passes audio to the amplifier",1,4.71,"https://www.laskakit.cz/gy-pcm5102-i2s-audio-modul/","laskakit.cz"
"DuPont pins Female 40pin","Female dupont pins for pico 2.",1,0.34,"https://dratek.cz/arduino-platforma/913-dupont-dutinkova-lista-samice-samec.html","Dratek.cz"
"Diode 1N5822","Diode for reverse battery protection. 10 is minimum quantity.",5,1.19,"https://www.lcsc.com/product-detail/schottky-diodes_stmicroelectronics-1n5822_C915962.html","lcsc"
"Button, 6 x 6 x 6 mm","Button for changing things in menu.",4,0.39,"https://dratek.cz/arduino-platforma/1253-mikrospinac-6x6x6-mm-tlacitko.html","Dratek.cz"
"5×20 GLASS QUICK BLOW FUSE 3A","Fast blow fuse for safety in the pcb.",10,0.59,"https://www.lcsc.com/product-detail/Glass-Fuses_3A-250VAC_C3118.html","lcsc"
"5×20mm fuse holder, PCB THT","Fuse holder. Holds the fuse, 20 is the minimum quantity.",5,0.40,"https://www.lcsc.com/product-detail/C3131.html?s_z=n_q_5x20%2520BLX-A&spm=wm.fly.bg.0.xh&lcsc_vid=FVNfUlUEFAVYXgBSFAcKAVJRQwIPUFRWFFBeV1deT1gxVlNeR1VWVlNSR1ddVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","lcsc"
"Metalized rezistor 100K - 0,25W 1%","Resistor for voltage divider.",2,0.10,"https://dratek.cz/arduino-platforma/7653-rezistor-100k-0.25-w-1.html","Dratek.cz"
"Metalized rezistor 330K - 0,25W 1%","Resistor for voltage divider.",4,0.19,"https://dratek.cz/arduino-platforma/174965-metalizovany-rezistor-330k-0-25w-1.html","Dratek.cz"
"Condensator  50v 100microfarad","Condensator for power smoothing.",4,0.19,"https://dratek.cz/arduino-platforma/7825-kondenzator-100uf-50v.html","Dratek.cz"
"POT 10kΩ Through Hole","Potenciometer for the knobs in the synthesizer. Used to control value and settings.",10,6.92,"https://www.lcsc.com/product-detail/C209779.html?s_z=n_q_C209779&globalKeyword=C209779","lcsc"
"JST S2B-PH-K-S","The jst pin for battery. 20 is the minimum quantity",20,0.76,"https://www.lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_JST-S2B-PH-K-S-LF-SN_C173752.html","lcsc"
"MICROCHIP MCP3208-CI/P","analog multiplexer to read potencimeters, because pico does not have enough adc pins",1,4.27,"https://www.lcsc.com/product-detail/C1543277.html?s_z=n_q_MCP3208&spm=wm.fly.bg.4.xh&lcsc_vid=FVNfUlUEFAVYXgBSFAcKAVJRQwIPUFRWFFBeV1deT1gxVlNeR1JfUVFWTlhdVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0snGQACCANLIw5DIw0BHhUPC0klGA8YAhYSEhMdSiUiNBIxKi0lJS4tLy02KCwtN1dUR1lDJC1LJC0xKic2RFNeXzslRldXVF1IHxUDCw%3D%3D","lcsc"
"2.54mm 16P DIP Tin Square Hole 7.62mm DIP-16 IC Sockets RoHS","Holder for the MCP3208 chip. 10 is the minimum quantity on lcsc.",10,0.48,"https://www.lcsc.com/product-detail/IC-Sockets_BOOMELE-Boom-Precision-Elec-C2326_C2326.html","lcsc"
"Digital audio amplifier PAM8403 - 2 x 3W","To amplify the sound generated by the PCM5102A for speakers",1,0.67,"https://dratek.cz/arduino-platforma/953-audio-zesilovac-2x3w.html","Dratek.cz"
"IIC I2C OLED displej 1,3"" - White, 128 x 64","Oled display for vizualization of the sound and values. Allows the user to see what vaues he is setting and what mode is he on.",1,8.01,"https://dratek.cz/arduino-platforma/3181-iic-i2c-oled-1-3-displej-128x64-bily.html","Dratek.cz"
